entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
		2.8	death toll in lebanon bombings rises to 47	1 suspect arrested after lebanon car bombings kill 45
		3.6	nine children die in attack in afghanistan attack	10 die in attacks in afghanistan
		4.4	germany summons us envoy over alleged nsa spying	germany summons u.s. envoy over merkel phone spy claims
		4.6	two french journalists killed after mali kidnapping	two french journalists abducted, killed in northern mali
		3.8	chinese stocks open lower thursday	china stocks close lower on thursday
		0	ukraine hosts ‚Äėunity talks‚Äô	pope hits out at ‚Äėwar to sell arms‚Äô in syria
		4.4	george zimmerman not guilty of boy‚Äôs murder	live blog: george zimmerman not guilty
		1.6	egypt strongly opposes military action against syria	reactions to the prospect of military action against syria
		2.6	eu foreign ministers to discuss how to press egypt over bloodshed	eu foreign ministers to discuss egypt on wednesday
		4	malaysia airlines loses contact with plane carrying 239 to beijing	malaysia airlines plane vanishes on flight to beijing
		3.8	manchester city wins second premier league title in three years	manchester city win english premier league title
		4.6	army, government at loggerheads over taliban talks	pakistani army, government at loggerheads over taliban talks
		3.8	afghanistan: suicide bomber kills eight in military bus blast	roadside bomb 'kills eight afghan soldiers'
		3.2	microsoft finally unveils office for apple's ipad	microsoft and office in a multi-platform world
		4.2	n.korea cancels family reunions	north korea postpones family reunions with south
		2.4	relief in boston as second suspect captured	police confirm how suspect was captured
		4.2	kenyan forces caused mall collapse	official says kenyan forces caused mall collapse
		0.4	zoo worker dies after tiger attack	indian-origin teacher dies after attack in new zealand
		3.4	at least 14 killed in baghdad bombings	at least 40 killed by 11 baghdad car bombs
		0	mumbai indians puts t&t in its place	indonesians vote for president in tight race
		0	japan's opposition party chief criticizes abe's economic policies	zimbabwe‚Äôs opposition mdc party challenges robert mugabe‚Äôs election win
		1.2	huge explosion after oil train derails in canada	huge explosion as freight train derails near baltimore
		0	food price hikes raise concerns in iran	american chris horner wins tour of spain
		0.4	38 killed in rains, flash floods in pakistan	three killed in brazil stadium collapse
		3.8	chemical arms team to begin talks with syria	un chemical arms experts to visit syria
		4.6	teenage girl killed in east london shereka marsh was shot in the neck, police say	hackney shooting: teenager shereka marsh 'bled to death after being shot in neck'
		3.4	china sends largest fleet yet to disputed islands	china ships enter waters off disputed islands
		3.2	what the papers say, june 25, 2013	what the papers say, july 19, 2013
		2.2	suspected u.s. drone strike kills 5 in pakistan	suspected us drone targets islamic seminary in pakistan
		5	texas won't switch execution drug	texas won't switch execution drug
		1.2	death toll in lebanon bombings rises to 47	death toll in turkish bombings rises to 46
		2.6	wto reaches first trade reform deal	wto achieves historic trade deal in bali
		2.8	four more people arrested over australia's largest illegal tobacco importation syndicate	police target illegal tobacco syndicate
		0.4	puerto rican arrested for production of child pornography	indian guru arrested on suspicion of rape
		3.4	n korea test-fires 30 short-range missiles	n. korea fires short-range missiles
		4.2	actor philip seymour hoffman found dead	us actor philip seymour hoffman found dead in new york
		1.6	main candidates in afghanistan's presidential election	voting ends in afghanistan‚Äôs presidential and municipal elections
		3.8	pro-russian protesters storm new police station in east ukraine	pro-russians protesters storm donetsk prosecutor's office in eastern ukraine
		4.8	erdogan criticizes court ruling after lifting twitter ban	erdogan slams top court for lifting twitter ban
		4.8	bearded drag queen wins eurovision song contest	austria's 'bearded lady' wins eurovision song contest
		3.2	two blasts near iranian embassy in beirut, 7 killed	blast near iran embassy in beirut
		4.4	deaths rise in israeli air strikes on gaza	deaths rise in air strikes on gaza
		2.2	wall street dips as impasse in budget talks puzzles investors	wall street rises at open on data, washington eyed
		4.6	rudd sworn in as australia's new prime minister	rudd to be sworn in as australian prime minister
		3.4	top chinese political advisor meets greek pm	top chinese political advisor meets yemeni president
		4	spain's new king felipe vi sworn in in muted ceremony	king felipe vi to be sworn in as spain‚Äôs royals look to a new era
		3.2	bank of england keeps interest rates on hold	bank of england keeps low interest rates to support economy new
		2.8	israeli teens missing in west bank	israel finds bodies of three missing teens in west bank
		4.2	rowhani declared winner of iran presidential election	official announcement: rowhani wins iran presidential election, says minister
		4	ariel sharon in critical condition	hospital: ariel sharon's health worsens
		3.8	european central bank keeps rates unchanged	european central bank keeps interest rate at 0.5%
		5	saudi to give lebanese army $3 billion	saudi arabia to grant lebanese army $3 billion
		3.8	fire at immigration detention centre	fire at privately run immigration detention centre
		2.8	east ukraine separatists ask to join russia	crimean parliament votes to join russia
		4	nearly 1,900 killed in syria during peace talks	1,900 killed in syria while geneva talks remain deadlocked
		3.2	violent tornadoes hit oklahoma city, st. louis...	mile-wide tornado heads toward oklahoma city
		4	mandela's condition is now critical	mandela's condition 'still critical'
		2.4	libya asks un security council for help	kerry calls on un security council to act on syria
		4.2	kenyan troops storm westgate mall to end siege	kenya forces battle to end mall siege
		1	swiss tv: police say 44 injured in train collision	4 dead, 30 injured in train collision near moscow
		0	china ‚Äėwill protect interests‚Äô of foreign business	obama in ‚Äėdirect‚Äô confrontation with putin on ukraine
		2.2	afghan landslide toll 2,000, site may become massive grave	afghan landslide death toll unlikely to rise above 500
		3.4	bangla militants escape from prison van in bomb ambush	bangladesh prison van ambushed
		3.6	china yuan strengthens to new high against usd	china yuan strengthens to 6.1542 against usd
		0.6	implications of palestinian reconciliation	belgian king to address nation amid abdication speculation
		5	d.c. votes to decriminalize marijuana	dc votes to decriminalize pot
		4.2	afghanistan gears up for run-off presidential vote	afghanistan prepares for second round of presidential elections
		1.8	five killed in belgian coach crash	eleven dead in belgian plane crash
		0	global progress seen in ending death penalty	iran diplomat: progress being made in expert-level talks
		5	updated - two explosions near finish line of boston marathon	two explosions at boston marathon finish line
		2.6	france says won't 'shirk responsibilities' in syria	france urges eu to be united on syria
		4.8	abdullah ahead in afghanistan election race	abdullah leading in afghan presidential elections
		5	un invites iran to syrian peace conference	un: iran invited to attend syrian peace conference
		4.6	brazilians throng streets to greet pope	in brazil, thousands turn out to greet pope francis
		5	obama says korean war veterans ‚Äėdeserved better‚Äô	obama: korean war vets ‚Äėdeserve better‚Äô
		4	gang violence kills 16 in venezuelan prison	sixteen killed in venezuela prison
		3	drone strikes a seminary in pakistan	us drone strike kills 8 in nw pakistan
		3	'rapid inspection' of flood defences	'rapid inspection' of britain's flood defences
		4.8	new boko haram video claims to show missing nigerian schoolgirls	boko haram video said to show kidnapped nigerian girls
		3	lebanon clashes rage overnight; 12 soldiers dead	lebanon clashes rage near mosque; 16 soldiers dead
		5	five killed in muslim-christian clashes in egypt	5 die in christian-muslim clashes in egypt
		4.4	north korea blocks south workers from kaesong industrial zone	north korea blocks south koreans from factory zone
		1.2	10 killed in sri lankan bus accident	seven killed in karachi twin blasts
		2	china preparing for diaoyutai conflict: expert	china seeking foreign counterterror experts
		4	ukraine 'on verge of civil war'	is ukraine really on brink of civil war?
		4.6	north korea urges foreigners in south to evacuate	north korea warns foreigners in south korea to evacuate
		2.8	islamic militants kill 9 foreign tourists, 1 pakistani	gunmen kill 11 foreign tourists in pakistan
		0.2	israel's peres urges return to peace talks	gonsalves keeps up pressure on dom rep
		2.2	china yuan strengthens to new high against usd	china yuan weakens to 6.1705 against usd
